Student_ID,Name,Section,Branch,Attendance(%),Internal_Marks,Assignments_Submitted,Previous_Sem_Result(%),Risk_Score,Risk_Zone
S1090,Shreya Mishra,A,CSE,76.2,26.8,10,90.6,108.56,Green
S1091,Priya Malhotra,A,IT,86.6,25.0,5,72.8,84.32,Green
S1092,Nikhil Nair,A,AIML,66.6,24.5,7,82.7,89.88,Green
S1093,Tanya Nair,C,IT,71.1,33.1,3,70.4,78.48,Green
S1094,Krishna Patel,A,IT,70.3,30.1,7,63.3,89.65,Green
S1095,Myra Gupta,A,CSE,57.4,23.8,3,69.9,67.15,Yellow
S1096,Karan Sharma,A,CSE,78.6,33.4,7,58.9,93.15,Green
S1097,Divya Bhatt,C,CSE,78.1,29.8,8,43.2,89.32,Green
S1098,Myra Saxena,A,CSE,75.1,32.9,2,77.2,77.35,Green
S1099,Myra Sharma,A,CSE,72.2,31.8,2,42.5,65.3,Yellow
S1100,Arjun Verma,C,AIML,58.0,23.0,10,61.0,91.97,Green
S1101,Myra Gupta,C,IT,70.0,24.6,1,58.4,59.52,Yellow
S1102,Aditya Joshi,C,IT,70.9,32.5,9,74.7,103.22,Green
S1103,Arjun Iyer,A,IT,65.4,31.7,2,88.5,77.32,Green
S1104,Aadhya Reddy,C,IT,73.1,27.9,2,83.1,74.46,Green
S1105,Pooja Mishra,C,CSE,79.8,28.7,4,75.1,82.4,Green
S1106,Shreya Kumar,A,IT,97.6,35.7,4,55.6,86.83,Green
S1107,Nisha Saxena,C,AIML,77.1,24.5,1,62.2,62.35,Yellow
S1108,Neha Patel,A,AIML,78.1,31.3,9,60.1,99.64,Green
S1109,Neha Kapoor,B,IT,74.1,26.8,5,57.9,78.23,Green
S1110,Isha Singh,C,IT,52.0,26.7,4,59.0,68.95,Yellow
S1111,Reyansh Kapoor,B,AIML,74.7,34.6,5,58.6,85.09,Green
S1112,Aman Kapoor,A,AIML,75.7,33.0,0,57.9,63.8,Yellow
S1113,Manav Nair,C,CSE,100.0,32.9,4,79.3,92.21,Green
S1114,Vihaan Singh,A,AIML,72.7,35.8,8,49.2,94.77,Green
S1115,Vihaan Malhotra,B,CSE,78.6,28.1,9,54.1,95.3,Green
S1116,Karan Singh,A,CSE,74.6,32.1,1,41.2,61.76,Yellow
S1117,Aadhya Mishra,C,CSE,61.0,26.1,0,86.2,62.86,Yellow
S1118,Isha Bhatt,C,CSE,88.7,29.9,9,53.1,99.02,Green
S1119,Raj Kumar,B,CSE,84.0,27.2,10,74.9,106.14,Green
S1120,Dev Yadav,A,IT,84.5,28.6,8,72.1,98.59,Green
S1121,Anika Nair,C,AIML,64.1,31.6,9,84.8,103.8,Green
S1122,Aadhya Gupta,B,CSE,91.8,23.1,8,61.8,92.74,Green
S1123,Raj Bhatt,C,AIML,58.2,40.0,8,50.8,95.12,Green
S1124,Reyansh Verma,C,AIML,82.0,22.0,5,41.7,71.34,Green
S1125,Shreya Sharma,A,CSE,100.0,20.7,7,30.0,79.25,Green
S1126,Sai Patel,C,IT,63.1,34.9,10,67.4,105.08,Green
S1127,Ananya Kapoor,A,CSE,68.2,32.7,0,76.6,67.28,Yellow
S1128,Pooja Menon,C,IT,76.2,31.7,9,72.1,103.1,Green
S1129,Kavya Malhotra,B,AIML,69.0,31.8,3,42.1,68.38,Yellow
S1130,Vihaan Yadav,C,IT,56.4,27.9,0,80.6,61.53,Yellow
S1131,Yash Sharma,A,IT,75.8,22.6,7,54.5,82.13,Green
S1132,Yash Reddy,A,IT,62.3,28.5,0,51.4,54.74,Yellow
S1133,Varun Rao,B,AIML,80.7,23.9,2,54.2,64.35,Yellow
S1134,Dev Bhatt,C,AIML,64.0,33.9,3,66.2,76.11,Green
S1135,Pooja Kumar,C,IT,93.6,27.1,7,42.7,86.79,Green
S1136,Isha Rao,B,IT,65.6,23.0,5,64.4,74.89,Green
S1137,Kavya Verma,C,CSE,71.1,26.1,9,71.4,96.94,Green
S1138,Divya Bhatt,C,IT,84.8,30.5,6,81.6,95.1,Green
S1139,Vihaan Joshi,A,CSE,60.2,24.6,7,67.6,83.83,Green
S1140,Vihaan Verma,C,IT,77.7,23.1,1,44.9,56.14,Yellow
S1141,Divya Menon,C,CSE,90.7,29.5,9,67.2,103.42,Green
S1142,Simran Iyer,B,AIML,55.7,29.5,10,49.1,93.24,Green
S1143,Ananya Verma,B,IT,77.2,25.0,7,48.2,82.59,Green
S1144,Simran Gupta,A,IT,78.1,25.2,2,44.6,61.9,Yellow
S1145,Diya Gupta,C,IT,84.4,29.4,6,36.3,80.49,Green
S1146,Sneha Gupta,C,IT,60.2,19.3,2,56.5,56.08,Yellow
S1147,Aadhya Malhotra,C,CSE,59.2,19.6,6,81.9,79.7,Green
S1148,Krishna Saxena,A,IT,81.3,23.7,10,98.8,109.71,Green
S1149,Aadhya Saxena,A,AIML,78.6,26.7,1,56.4,62.82,Yellow
S1150,Sneha Verma,B,AIML,78.0,29.9,9,81.3,104.81,Green
S1151,Kritika Gupta,A,IT,79.2,36.9,5,59.1,88.28,Green
S1152,Manav Saxena,C,AIML,66.8,33.1,2,40.2,64.34,Yellow
S1153,Nisha Iyer,C,IT,77.8,27.0,2,75.5,72.6,Green
S1154,Rahul Reddy,A,IT,78.5,27.9,8,68.5,95.42,Green
S1155,Kavya Joshi,C,AIML,66.4,22.0,6,92.3,86.62,Green
S1156,Aadhya Reddy,C,IT,97.4,27.9,4,42.0,76.2,Green
S1157,Siddharth Kumar,A,AIML,80.7,26.3,9,100.0,108.09,Green
S1158,Priya Nair,A,CSE,60.7,29.9,6,88.9,90.76,Green
S1159,Rahul Gupta,C,IT,82.9,23.0,8,64.7,91.3,Green
S1160,Aarav Nair,C,CSE,63.3,31.1,0,60.5,59.89,Yellow
S1161,Kritika Saxena,C,AIML,84.4,37.2,6,54.3,92.39,Green
S1162,Reyansh Gupta,B,CSE,88.9,27.3,5,66.6,84.95,Green
S1163,Shreya Mishra,B,CSE,65.2,30.4,9,62.2,96.29,Green
S1164,Simran Reddy,B,AIML,86.6,32.1,8,72.7,102.21,Green
S1165,Ishaan Chauhan,A,CSE,80.0,25.6,0,60.6,59.51,Yellow
S1166,Arjun Patel,B,CSE,84.9,29.3,3,86.2,83.5,Green
S1167,Nikhil Rao,A,AIML,97.8,28.1,8,66.9,99.94,Green
S1168,Ananya Nair,A,CSE,72.1,28.6,3,61.1,72.19,Green
S1169,Shreya Rao,B,AIML,66.0,23.4,9,80.4,96.12,Green
S1170,Kritika Iyer,B,CSE,64.3,28.1,2,40.7,59.7,Yellow
S1171,Aarav Bhatt,B,AIML,65.2,31.0,8,70.1,95.16,Green
S1172,Priya Singh,C,AIML,74.1,36.7,1,65.4,72.73,Green
S1173,Ishaan Reddy,B,CSE,79.1,33.8,3,43.8,73.08,Green
S1174,Krishna Singh,C,CSE,78.3,40.0,5,39.4,84.73,Green
S1175,Meera Kumar,A,CSE,84.9,23.4,1,80.2,68.78,Yellow
S1176,Anika Rao,C,IT,75.2,33.2,7,79.4,98.29,Green
S1177,Sneha Mishra,B,IT,92.4,29.1,7,67.6,95.63,Green
S1178,Karan Mishra,A,IT,71.8,40.0,0,90.7,78.49,Green
S1179,Saanvi Iyer,A,AIML,100.0,23.2,2,71.6,73.81,Green
S1180,Pooja Reddy,A,CSE,82.5,23.0,9,83.7,100.9,Green
S1181,Vihaan Gupta,C,AIML,64.7,24.4,8,71.3,89.9,Green
S1182,Dev Reddy,B,IT,62.1,15.3,4,60.9,62.54,Yellow
S1183,Aditya Sharma,A,CSE,80.8,24.8,5,49.1,75.6,Green
S1184,Karan Kumar,A,AIML,72.3,23.4,3,55.9,66.34,Yellow
S1185,Saanvi Yadav,A,CSE,83.6,28.9,9,61.1,99.31,Green
S1186,Raj Bhatt,C,AIML,80.7,30.1,1,85.4,74.88,Green
S1187,Dev Bhatt,C,CSE,74.1,39.3,10,76.5,114.22,Green
S1188,Aarav Singh,B,IT,64.8,33.7,7,70.0,93.28,Green
S1189,Arjun Kumar,C,IT,56.8,24.5,10,78.1,98.05,Green
S1190,Shreya Verma,A,CSE,69.6,22.6,5,72.9,78.1,Green
S1191,Nikhil Saxena,B,AIML,85.3,31.0,4,68.9,83.83,Green
S1192,Meera Kumar,A,IT,77.6,20.1,8,42.5,80.9,Green
S1193,Dev Kumar,A,IT,60.1,39.0,0,82.1,72.16,Green
S1194,Aditya Rao,C,IT,77.1,35.1,4,58.1,81.96,Green
S1195,Nikhil Verma,B,CSE,79.6,25.2,5,81.3,85.29,Green
S1196,Aman Mishra,C,CSE,64.4,17.7,4,82.8,71.69,Green
S1197,Aadhya Singh,C,AIML,76.8,36.1,5,54.9,85.75,Green
S1198,Aman Bhatt,B,AIML,75.7,27.3,5,79.2,85.44,Green
S1199,Manav Agarwal,A,AIML,61.3,35.4,6,59.6,86.7,Green
