,Student_ID,Attendance(%),Internal_Marks,Assignments_Submitted,Previous_Sem_Result(%),Name,Section,Branch
99,S1099,72.2,31.8,2,42.5,Myra Sharma,A,CSE
100,S1100,58.0,23.0,10,61.0,Arjun Verma,C,AIML
101,S1101,70.0,24.6,1,58.4,Myra Gupta,C,IT
102,S1102,70.9,32.5,9,74.7,Aditya Joshi,C,IT
103,S1103,65.4,31.7,2,88.5,Arjun Iyer,A,IT
104,S1104,73.1,27.9,2,83.1,Aadhya Reddy,C,IT
105,S1105,79.8,28.7,4,75.1,Pooja Mishra,C,CSE
106,S1106,97.6,35.7,4,55.6,Shreya Kumar,A,IT
107,S1107,77.1,24.5,1,62.2,Nisha Saxena,C,AIML
108,S1108,78.1,31.3,9,60.1,Neha Patel,A,AIML
109,S1109,74.1,26.8,5,57.9,Neha Kapoor,B,IT
110,S1110,52.0,26.7,4,59.0,Isha Singh,C,IT
111,S1111,74.7,34.6,5,58.6,Reyansh Kapoor,B,AIML
112,S1112,75.7,33.0,0,57.9,Aman Kapoor,A,AIML
113,S1113,100.0,32.9,4,79.3,Manav Nair,C,CSE
114,S1114,72.7,35.8,8,49.2,Vihaan Singh,A,AIML
115,S1115,78.6,28.1,9,54.1,Vihaan Malhotra,B,CSE
116,S1116,74.6,32.1,1,41.2,Karan Singh,A,CSE
117,S1117,61.0,26.1,0,86.2,Aadhya Mishra,C,CSE
118,S1118,88.7,29.9,9,53.1,Isha Bhatt,C,CSE
119,S1119,84.0,27.2,10,74.9,Raj Kumar,B,CSE
120,S1120,84.5,28.6,8,72.1,Dev Yadav,A,IT
121,S1121,64.1,31.6,9,84.8,Anika Nair,C,AIML
122,S1122,91.8,23.1,8,61.8,Aadhya Gupta,B,CSE
123,S1123,58.2,40.0,8,50.8,Raj Bhatt,C,AIML
124,S1124,82.0,22.0,5,41.7,Reyansh Verma,C,AIML
125,S1125,100.0,20.7,7,30.0,Shreya Sharma,A,CSE
126,S1126,63.1,34.9,10,67.4,Sai Patel,C,IT
127,S1127,68.2,32.7,0,76.6,Ananya Kapoor,A,CSE
128,S1128,76.2,31.7,9,72.1,Pooja Menon,C,IT
129,S1129,69.0,31.8,3,42.1,Kavya Malhotra,B,AIML
130,S1130,56.4,27.9,0,80.6,Vihaan Yadav,C,IT
131,S1131,75.8,22.6,7,54.5,Yash Sharma,A,IT
132,S1132,62.3,28.5,0,51.4,Yash Reddy,A,IT
133,S1133,80.7,23.9,2,54.2,Varun Rao,B,AIML
134,S1134,64.0,33.9,3,66.2,Dev Bhatt,C,AIML
135,S1135,93.6,27.1,7,42.7,Pooja Kumar,C,IT
136,S1136,65.6,23.0,5,64.4,Isha Rao,B,IT
137,S1137,71.1,26.1,9,71.4,Kavya Verma,C,CSE
138,S1138,84.8,30.5,6,81.6,Divya Bhatt,C,IT
139,S1139,60.2,24.6,7,67.6,Vihaan Joshi,A,CSE
140,S1140,77.7,23.1,1,44.9,Vihaan Verma,C,IT
141,S1141,90.7,29.5,9,67.2,Divya Menon,C,CSE
142,S1142,55.7,29.5,10,49.1,Simran Iyer,B,AIML
143,S1143,77.2,25.0,7,48.2,Ananya Verma,B,IT
144,S1144,78.1,25.2,2,44.6,Simran Gupta,A,IT
145,S1145,84.4,29.4,6,36.3,Diya Gupta,C,IT
146,S1146,60.2,19.3,2,56.5,Sneha Gupta,C,IT
147,S1147,59.2,19.6,6,81.9,Aadhya Malhotra,C,CSE
148,S1148,81.3,23.7,10,98.8,Krishna Saxena,A,IT
149,S1149,78.6,26.7,1,56.4,Aadhya Saxena,A,AIML
150,S1150,78.0,29.9,9,81.3,Sneha Verma,B,AIML
151,S1151,79.2,36.9,5,59.1,Kritika Gupta,A,IT
152,S1152,66.8,33.1,2,40.2,Manav Saxena,C,AIML
153,S1153,77.8,27.0,2,75.5,Nisha Iyer,C,IT
154,S1154,78.5,27.9,8,68.5,Rahul Reddy,A,IT
155,S1155,66.4,22.0,6,92.3,Kavya Joshi,C,AIML
156,S1156,97.4,27.9,4,42.0,Aadhya Reddy,C,IT
157,S1157,80.7,26.3,9,100.0,Siddharth Kumar,A,AIML
158,S1158,60.7,29.9,6,88.9,Priya Nair,A,CSE
159,S1159,82.9,23.0,8,64.7,Rahul Gupta,C,IT
160,S1160,63.3,31.1,0,60.5,Aarav Nair,C,CSE
161,S1161,84.4,37.2,6,54.3,Kritika Saxena,C,AIML
162,S1162,88.9,27.3,5,66.6,Reyansh Gupta,B,CSE
163,S1163,65.2,30.4,9,62.2,Shreya Mishra,B,CSE
164,S1164,86.6,32.1,8,72.7,Simran Reddy,B,AIML
165,S1165,80.0,25.6,0,60.6,Ishaan Chauhan,A,CSE
166,S1166,84.9,29.3,3,86.2,Arjun Patel,B,CSE
167,S1167,97.8,28.1,8,66.9,Nikhil Rao,A,AIML
168,S1168,72.1,28.6,3,61.1,Ananya Nair,A,CSE
169,S1169,66.0,23.4,9,80.4,Shreya Rao,B,AIML
170,S1170,64.3,28.1,2,40.7,Kritika Iyer,B,CSE
171,S1171,65.2,31.0,8,70.1,Aarav Bhatt,B,AIML
172,S1172,74.1,36.7,1,65.4,Priya Singh,C,AIML
173,S1173,79.1,33.8,3,43.8,Ishaan Reddy,B,CSE
174,S1174,78.3,40.0,5,39.4,Krishna Singh,C,CSE
175,S1175,84.9,23.4,1,80.2,Meera Kumar,A,CSE
176,S1176,75.2,33.2,7,79.4,Anika Rao,C,IT
177,S1177,92.4,29.1,7,67.6,Sneha Mishra,B,IT
178,S1178,71.8,40.0,0,90.7,Karan Mishra,A,IT
179,S1179,100.0,23.2,2,71.6,Saanvi Iyer,A,AIML
180,S1180,82.5,23.0,9,83.7,Pooja Reddy,A,CSE
181,S1181,64.7,24.4,8,71.3,Vihaan Gupta,C,AIML
182,S1182,62.1,15.3,4,60.9,Dev Reddy,B,IT
183,S1183,80.8,24.8,5,49.1,Aditya Sharma,A,CSE
184,S1184,72.3,23.4,3,55.9,Karan Kumar,A,AIML
185,S1185,83.6,28.9,9,61.1,Saanvi Yadav,A,CSE
186,S1186,80.7,30.1,1,85.4,Raj Bhatt,C,AIML
187,S1187,74.1,39.3,10,76.5,Dev Bhatt,C,CSE
188,S1188,64.8,33.7,7,70.0,Aarav Singh,B,IT
189,S1189,56.8,24.5,10,78.1,Arjun Kumar,C,IT
190,S1190,69.6,22.6,5,72.9,Shreya Verma,A,CSE
191,S1191,85.3,31.0,4,68.9,Nikhil Saxena,B,AIML
192,S1192,77.6,20.1,8,42.5,Meera Kumar,A,IT
193,S1193,60.1,39.0,0,82.1,Dev Kumar,A,IT
194,S1194,77.1,35.1,4,58.1,Aditya Rao,C,IT
195,S1195,79.6,25.2,5,81.3,Nikhil Verma,B,CSE
196,S1196,64.4,17.7,4,82.8,Aman Mishra,C,CSE
197,S1197,76.8,36.1,5,54.9,Aadhya Singh,C,AIML
198,S1198,75.7,27.3,5,79.2,Aman Bhatt,B,AIML
199,S1199,61.3,35.4,6,59.6,Manav Agarwal,A,AIML
